Semana,Taylor Swift: (Estados Unidos),Kim Kardashian: (Estados Unidos)
2016-07-17,81,54
2016-07-24,25,23
2016-07-31,18,20
2016-08-07,16,20
2016-08-14,13,21
2016-08-21,14,28
2016-08-28,17,30
2016-09-04,19,27
2016-09-11,13,21
2016-09-18,12,23
2016-09-25,11,22
2016-10-02,11,100
2016-10-09,11,37
2016-10-16,11,27
2016-10-23,15,23
2016-10-30,14,18
2016-11-06,14,17
2016-11-13,17,18
2016-11-20,12,23
2016-11-27,10,17
2016-12-04,13,19
2016-12-11,14,19
2016-12-18,12,19
2016-12-25,12,21
2017-01-01,12,22
2017-01-08,11,18
2017-01-15,11,15
2017-01-22,12,12
2017-01-29,12,15
2017-02-05,13,12
2017-02-12,11,14
2017-02-19,9,14
2017-02-26,8,12
2017-03-05,9,12
2017-03-12,8,13
2017-03-19,8,15
2017-03-26,8,15
2017-04-02,8,14
2017-04-09,8,12
2017-04-16,8,14
2017-04-23,7,30
2017-04-30,8,21
2017-05-07,8,14
2017-05-14,10,13
2017-05-21,11,13
2017-05-28,8,15
2017-06-04,11,14
2017-06-11,11,14
2017-06-18,8,20
2017-06-25,8,16
2017-07-02,9,18
2017-07-09,7,19
2017-07-16,8,18
2017-07-23,7,15
2017-07-30,8,13
2017-08-06,29,12
2017-08-13,19,14
2017-08-20,74,12
2017-08-27,64,14
2017-09-03,37,21
2017-09-10,16,11
2017-09-17,15,15
2017-09-24,13,22
2017-10-01,11,15
2017-10-08,12,18
2017-10-15,17,26
2017-10-22,23,21
2017-10-29,17,30
2017-11-05,39,23
2017-11-12,45,30
2017-11-19,22,22
2017-11-26,17,18
2017-12-03,26,15
2017-12-10,22,14
2017-12-17,17,16
2017-12-24,15,22
2017-12-31,14,17
2018-01-07,13,16
2018-01-14,12,40
2018-01-21,10,26
2018-01-28,12,35
2018-02-04,10,27
2018-02-11,9,21
2018-02-18,8,18
2018-02-25,8,19
2018-03-04,8,18
2018-03-11,14,15
2018-03-18,10,14
2018-03-25,10,15
2018-04-01,9,16
2018-04-08,11,19
2018-04-15,11,17
2018-04-22,11,25
2018-04-29,11,23
2018-05-06,19,19
2018-05-13,15,15
2018-05-20,20,15
2018-05-27,13,23
2018-06-03,12,20
2018-06-10,11,21
2018-06-17,10,16
2018-06-24,11,15
2018-07-01,14,18
2018-07-08,18,19
2018-07-15,16,17
2018-07-22,18,14
2018-07-29,13,22
2018-08-05,15,24
2018-08-12,13,19
2018-08-19,11,18
2018-08-26,14,15
2018-09-02,9,15
2018-09-09,9,15
2018-09-16,11,15
2018-09-23,9,15
2018-09-30,10,17
2018-10-07,28,18
2018-10-14,9,20
2018-10-21,8,16
2018-10-28,7,14
2018-11-04,7,16
2018-11-11,7,16
2018-11-18,8,14
2018-11-25,7,17
2018-12-02,7,14
2018-12-09,9,13
2018-12-16,7,13
2018-12-23,7,17
2018-12-30,19,19
2019-01-06,12,12
2019-01-13,8,13
2019-01-20,7,11
2019-01-27,7,11
2019-02-03,6,11
2019-02-10,8,11
2019-02-17,6,18
2019-02-24,9,14
2019-03-03,10,13
2019-03-10,8,10
2019-03-17,6,10
2019-03-24,6,10
2019-03-31,6,12
2019-04-07,7,15
2019-04-14,10,15
2019-04-21,33,13
2019-04-28,23,12
2019-05-05,12,31
2019-05-12,12,26
2019-05-19,10,15
2019-05-26,9,12
2019-06-02,8,11
2019-06-09,14,12
2019-06-16,24,12
2019-06-23,10,14
2019-06-30,26,13
2019-07-07,12,11
2019-07-14,10,11
2019-07-21,14,10
2019-07-28,10,9
2019-08-04,12,9
2019-08-11,17,8
2019-08-18,35,10
2019-08-25,36,8
2019-09-01,16,8
2019-09-08,12,14
2019-09-15,13,12
2019-09-22,10,12
2019-09-29,11,10
2019-10-06,14,10
2019-10-13,13,12
2019-10-20,9,13
2019-10-27,12,13
2019-11-03,10,13
2019-11-10,14,9
2019-11-17,13,12
2019-11-24,29,10
2019-12-01,12,9
2019-12-08,14,12
2019-12-15,11,14
2019-12-22,11,14
2019-12-29,10,12
2020-01-05,10,9
2020-01-12,8,9
2020-01-19,11,8
2020-01-26,16,8
2020-02-02,24,10
2020-02-09,13,8
2020-02-16,10,8
2020-02-23,14,8
2020-03-01,10,8
2020-03-08,7,7
2020-03-15,9,8
2020-03-22,13,14
2020-03-29,8,14
2020-04-05,7,12
2020-04-12,7,10
2020-04-19,10,10
2020-04-26,8,11
2020-05-03,7,10
2020-05-10,7,9
2020-05-17,12,9
2020-05-24,9,9
2020-05-31,6,8
2020-06-07,6,7
2020-06-14,6,8
2020-06-21,6,8
2020-06-28,6,10
2020-07-05,7,11
2020-07-12,6,8
2020-07-19,41,31
2020-07-26,33,17
2020-08-02,17,11
2020-08-09,12,10
2020-08-16,12,7
2020-08-23,9,8
2020-08-30,10,7
2020-09-06,8,9
2020-09-13,13,9
2020-09-20,8,8
2020-09-27,9,9
2020-10-04,7,8
2020-10-11,7,8
2020-10-18,8,14
2020-10-25,7,15
2020-11-01,6,9
2020-11-08,7,9
2020-11-15,10,7
2020-11-22,13,8
2020-11-29,11,7
2020-12-06,29,10
2020-12-13,23,8
2020-12-20,14,9
2020-12-27,13,8
2021-01-03,10,48
2021-01-10,9,13
2021-01-17,8,11
2021-01-24,8,9
2021-01-31,8,11
2021-02-07,16,10
2021-02-14,11,20
2021-02-21,9,18
2021-02-28,11,12
2021-03-07,9,10
2021-03-14,21,13
2021-03-21,11,11
2021-03-28,10,11
2021-04-04,20,13
2021-04-11,13,11
2021-04-18,10,11
2021-04-25,9,11
2021-05-02,8,10
2021-05-09,9,9
2021-05-16,8,9
2021-05-23,8,11
2021-05-30,8,12
2021-06-06,8,14
2021-06-13,10,13
2021-06-20,9,11
2021-06-27,9,9
2021-07-04,9,10
